UEN	EMI	CompanyName	size_group	industry_code (M)	industry_desc (I)	SSIC2020
00474500X	6000011	NAN HEONG HO KEE	(0) E1	L68	Real Estate Services	49214
00834000E	6000021	HONG LIAN GIM KEE	(2) 25-99	G46	Wholesale Trade	46303
00847300E	6000023	CHOP HONG KEE	(1) 10-24	G47	Retail Trade	46900
01474700J	6000039	HAK YONG CO	(1) 10-24	G46	Wholesale Trade	46302
01509700E	6000045	KENG WAH SUNG CAFE	(1) 10-24	L68	Real Estate Services	68104
01797900E	6000053	CHOP SENG HENG	(1) 10-24	G47	Retail Trade	47102
02363800A	6000063	SINGAPORE RUBBER STAMP MAKER	(1) 10-24	Cothers	Other Manufacturing Industries	32909
02507500D	6000065	GUAN HOE SOON RESTAURANT	(1) 10-24	I56	Food and Beverage Services	56111
02773500A	6000069	LIAN YAK FISH MERCHANTS	(0) E1	G46	Wholesale Trade	46302
02903000E	9999627	AIK MUI FISH MERCHANT	(1) 10-24	G47	Retail Trade	47801
03483400A	6000087	SINGAPORE BALLET ACADEMY	(1) 10-24	O84,P85	Public Administration and Education	85408
03594100J	9999547	TAI FOH SIONG	unknown	G47	Retail Trade	47723
03604800C	9999543	LIANG SENG COMPANY	(1) 10-24	G46	Wholesale Trade	46302
03846900J	6000101	CHOP NAM HUAT	(2) 25-99	G46	Wholesale Trade	46900
04116100M	6000115	CHOP ENG BEE	(0) E1	C25,28	Fabricated Metal Products & Machinery	28300
04124000J	6000117	CHOON GUAN	(1) 10-24	L68	Real Estate Services	68104
04130400D	6000119	JOTHI STORE AND FLOWER SHOP	(2) 25-99	G46	Wholesale Trade	46900
04147200D	6000121	HENG HOE MOTOR COMPANY	(0) E1	N82	Office Administrative and Business Support	82999
04232600A	6000123	TONG HENG	(2) 25-99	C10-12	Food, Beverages & Tobacco	10765
04253400C	6000125	UNI DRUG HOUSE	(1) 10-24	G46	Wholesale Trade	46461
04385500L	6000129	KATONG SIN CHEW CAKE SHOP	(1) 10-24	C10-12	Food, Beverages & Tobacco	10712
04474200B	6000137	LAI HENG TSOONG KEE FISH AGENTS	(1) 10-24	G46	Wholesale Trade	46302
04516000K	6000139	OH CHIN HING SESAME OIL FACTORY	(1) 10-24	C10-12	Food, Beverages & Tobacco	10401
04701000B	6000161	SINGAPORE FURNITURE	(1) 10-24	Cothers	Other Manufacturing Industries	31001
04702000L	6000163	CHOP HOCK HONG	(1) 10-24	G47	Retail Trade	47314
04765900M	6000171	LIAN SENG	(1) 10-24	I56	Food and Beverage Services	56140
04961200W	6000181	SING LIAN AIR-CONDITION AND ELECTRIC TRADER	(1) 10-24	M71	Architectural & Engineering Services	71121
04961900D	6000183	YONG THYE HENG HARDWARE MANUFACTURER	(1) 10-24	C25,28	Fabricated Metal Products & Machinery	25939
05031700L	6000187	SIN KEE HEONG	(1) 10-24	L68	Real Estate Services	68104
05036400J	6000191	POH KEE PRINTING	(1) 10-24	C17,18,22	Paper, Plastic Products & Printing	18113
05052600J	6000195	GUAN SAY	(1) 10-24	G47	Retail Trade	47102
05070100B	6000197	CHIN CHEONG GOLDSMITH	(2) 25-99	G47	Retail Trade	47731
05093500C	6000201	AIK SIM COOKED FISH	(1) 10-24	C10-12	Food, Beverages & Tobacco	10799
05227100E	6000209	HILTON SINGAPORE ORCHARD	(4) 250 & above	I55	Accommodation	55101
05256100C	6000211	CHOP CHIP SENG	(0) E1	G47	Retail Trade	47102
05256400B	6000213	KHENG HENG FISH & CO	(1) 10-24	G46	Wholesale Trade	46302
05484800L	6000219	GHEE HIN LEONG TYRE COMPANY	unknown	G47	Retail Trade	47313
05499700C	6000221	HONG HENG IRON WORKS	(1) 10-24	Cothers	Other Manufacturing Industries	24310
05561700W	6000227	LIANG HENG FISHERY	unknown	G46	Wholesale Trade	46302
05739900W	6000231	CHAN KAIN THYE LIGHTERAGE COMPANY	(1) 10-24	H49,5221	Land Transport & Supporting Services	49231
05748600W	6000233	SWEE SENG BROTHERS TRANSPORT COMPANY	(1) 10-24	H49,5221	Land Transport & Supporting Services	49233
05798500J	6000237	PUBLIC CHAIRS & TABLES CO	(0) E1	N77	Rental & Leasing	77291
06000100C	9998861	CHIP GUAN HENG	(1) 10-24	G46	Wholesale Trade	46305
06005000D	6000243	CHOP KENG BEE	(1) 10-24	L68	Real Estate Services	68104
06086500L	6000245	NATIONAL ELECTRICAL TRADERS	(2) 25-99	G46	Wholesale Trade	46632
06096000X	6000247	KOH GUAN CHUA WORKSHOP	(1) 10-24	S,T,U	Other Community, Social & Personal Services	95301
06290000E	6000259	CHOP KONG CHONG	(0) E1	G47	Retail Trade	47101
06357000M	6000261	THE CONTINENTAL BOOK CENTRE	(2) 25-99	G47	Retail Trade	47610
06446700K	6000263	ENG WAH RESTAURANT	(1) 10-24	I56	Food and Beverage Services	56122
06470300B	6000267	AH LIM MOTOR COMPANY	(1) 10-24	S,T,U	Other Community, Social & Personal Services	95301
06533300D	6000271	PEANUT DRY CLEANING & STEAM LAUNDRY	(0) E1	S,T,U	Other Community, Social & Personal Services	96011
06569600W	6000273	PECK HOON TENG COFFEE SHOP	(2) 25-99	L68	Real Estate Services	68104
06776300J	6000283	HEONG HOCK CAFE	(1) 10-24	I56	Food and Beverage Services	56122
06851200K	6000291	SOON SENG GROCERY MARKETING	(1) 10-24	G47	Retail Trade	47109
06886900B	6000297	SOON LEE BATTERY SERVICE CO	(1) 10-24	C29-30	Transport Equipment	29300
06952300B	6000309	SIN TECK LEONG TYRE CO	unknown	G47	Retail Trade	47314
06953400D	9653473	TEO SENG CO	unknown	G46	Wholesale Trade	46302
06958000J	6000311	HOCK LEONG HIN TECK KEE	(1) 10-24	G47	Retail Trade	47102
06972300A	6000313	RICH-ART CONSTRUCTION	unknown	F41-43	Construction	41001
07082700A	6000321	YEO SENG HENG	(2) 25-99	G46	Wholesale Trade	46301
07098300C	6000323	SONG KWANG ELECTRIC SERVICE	(2) 25-99	C25,28	Fabricated Metal Products & Machinery	28191
07193400J	6000333	NAM KEE CHICKEN RICE & RESTAURANT	(1) 10-24	I56	Food and Beverage Services	56111
07220700X	6000335	GOLDHILL FAMILY RESTAURANT	(1) 10-24	I56	Food and Beverage Services	56121
07293600B	6000339	HIAP SHING	(1) 10-24	C29-30	Transport Equipment	30110
07336300J	9998365	SULTANA TRADERS	(0) E1	G47	Retail Trade	47211
07420900X	6000343	SWEE SENG HUP KEE TRANSPORT CO	unknown	H49,5221	Land Transport & Supporting Services	49231
07684100J	9998229	TONG GUAN FISH MERCHANT	(1) 10-24	G47	Retail Trade	47801
07765600L	6000375	KUEK KIM CONSTRUCTION	(1) 10-24	F41-43	Construction	41009
07853700B	6000379	LACHMI ENTERPRISE	(1) 10-24	G46	Wholesale Trade	46900
08017200L	6000389	HUP SENG AUTO WORKS	(1) 10-24	S,T,U	Other Community, Social & Personal Services	47522
08026700M	6000393	TEW SENG CHEOW KEE	unknown	G47	Retail Trade	47212
08049400E	6000395	EUGENE SHIP FURNISHERS	(1) 10-24	C29-30	Transport Equipment	30110
08132900L	6000403	YEO GEOK CHIN LIGHTERAGE SERVICE	(1) 10-24	H50,5222,5225	Water Transport & Supporting Services	50021
08264400D	6000409	STAR SERVICE CO	(2) 25-99	N82	Office Administrative and Business Support	82303
08338700E	6000415	V I P HOTEL	(1) 10-24	I55	Accommodation	55101
08347000W	6000417	HUP YAM SENG	(2) 25-99	F41-43	Construction	43291
08381200L	6000419	BAN & CO	(1) 10-24	C25,28	Fabricated Metal Products & Machinery	41001
08409400A	6000421	LIM LAM HONG	(1) 10-24	C10-12	Food, Beverages & Tobacco	10712
08516300K	6000431	SAN'S TOURS & CAR RENTALS	(1) 10-24	N79	Travel & Tour Agencies	49212
08669000X	6000445	TAN HOE GUAN	(1) 10-24	G46	Wholesale Trade	46301
08723000C	6000449	SOH TONG HENG & CO	(2) 25-99	C29-30	Transport Equipment	30110
08773500L	6000451	BAN CRANE AND SHIPPING SERVICE	(2) 25-99	Hothers	Other Transport & Storage Services	46412
09008000M	9997853	SOON GUAN FISHERY CO	unknown	G46	Wholesale Trade	46302
09054200B	6000477	SOH GUAN CHUAN AUTO SUPPLY	(2) 25-99	C29-30	Transport Equipment	71113
09212000L	6000485	HUAN CHAY ELECTRIC STORE	unknown	F41-43	Construction	41001
09228800J	6000489	LEE BEE ENTERPRISES CO	(1) 10-24	G47	Retail Trade	47109
09352500A	9997783	HONG & FRIENDS COMPANY	(1) 10-24	G47	Retail Trade	47102
09567600K	6000505	NGAI HONG SPRAY PAINTING	(1) 10-24	S,T,U	Other Community, Social & Personal Services	95301
09726900W	6000515	NGAM BROTHERS CUSHION	unknown	Cothers	Other Manufacturing Industries	31001
09833800E	6000527	POLAND FOOD SUPPLIERS	(0) E1	G47	Retail Trade	47102
09852400C	6000531	ORCHID LAUNDRY	(2) 25-99	Cothers	Other Manufacturing Industries	13100
09880200C	9997601	CENTRAL AIRE-REFRIGERATION & ELECTRICAL SERVICES	unknown	F41-43	Construction	41001
